sample_title	run_accession	sample_alias	Individuals	Type	Condition
aaF1	SRR7959189	GSM3415442	1	Control	Lesional
aaF1_GC	SRR7959190	GSM3415443	1	GC	Lesional
aaF2	SRR7959191	GSM3415444	2	Control	Lesional
aaF2_GC	SRR7959192	GSM3415445	2	GC	Lesional
aaF3	SRR7959193	GSM3415446	3	Control	Lesional
aaF3_GC	SRR7959194	GSM3415447	3	GC	Lesional
aaM1	SRR7959195	GSM3415448	6	Control	Lesional
aaM1_GC	SRR7959196	GSM3415449	6	GC	Lesional
aaM2	SRR7959197	GSM3415450	7	Control	Nonlesional
aaM2_GC	SRR7959198	GSM3415451	7	GC	Nonlesional
aaM3	SRR7959199	GSM3415452	8	Control	Nonlesional
aaM3_GC	SRR7959200	GSM3415453	8	GC	Nonlesional
HS15	SRR7959201	GSM3415454	4	Control	Lesional
HS16	SRR7959202	GSM3415455	4	GC	Lesional
HS17	SRR7959203	GSM3415456	9	Control	Nonlesional
HS18	SRR7959204	GSM3415457	9	GC	Nonlesional
HS19	SRR7959205	GSM3415458	5	Control	Lesional
HS20	SRR7959206	GSM3415459	5	GC	Lesional
HS1233_control_S10_R1_001	SRR7959207	GSM3415460	10	Control	Nonlesional
HS1233_Gc_S11_R1_001	SRR7959208	GSM3415461	10	GC	Nonlesional
HS1583_control_S1_R1_001	SRR7959209	GSM3415462	12	Control	Nonlesional
HS1583_Gc_S2_R1_001	SRR7959210	GSM3415463	12	GC	Nonlesional
HS1609_control_S12_R1_001	SRR7959211	GSM3415464	13	Control	Healthy
HS1609_GC_S13_R1_001	SRR7959212	GSM3415465	13	GC	Healthy
HS1625_control_S3_R1_001	SRR7959213	GSM3415466	14	Control	Healthy
HS1625_Gc_S4_R1_001	SRR7959214	GSM3415467	14	GC	Healthy
HS1659_control_S14_R1_001	SRR7959215	GSM3415468	15	Control	Healthy
HS1659_GC_S15_R1_001	SRR7959216	GSM3415469	15	GC	Healthy	
HS1660_control_S16_R1_001	SRR7959217	GSM3415470	16	Control	Healthy
HS1660_GC_S17_R1_001	SRR7959218	GSM3415471	16	GC	Healthy
HS2100_control_S18_R1_001	SRR7959219	GSM3415472	17	Control	Healthy
HS2100_GC_S19_R1_001	SRR7959220	GSM3415473	17	GC	Healthy
HS2191_GC_S8_R1_001	SRR7959221	GSM3415474	18	Control	Healthy
HS2191_control_S7_R1_001	SRR7959222	GSM3415475	18	GC	Healthy

