File	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
aaF1_GC.Log.final.out	Mar 25 22:27:13	Mar 25 22:39:18	Mar 25 22:48:03	215.53	31432154	75	19617643	62.41%	74.75	2057709	2054097	2025650	29739	1391	929	0.44%	0.02%	1.16	0.01%	1.35	9105594	28.97%	24289	0.08%	0	0.00%	2282234	7.26%	402394	1.28%	0	0.00%
aaF1.Log.final.out	Mar 25 21:49:57	Mar 25 22:00:44	Mar 25 22:06:35	215.47	21008469	74	15908544	75.72%	74.72	1483478	1480440	1470002	11737	1079	660	0.43%	0.02%	1.22	0.01%	1.39	2754781	13.11%	19809	0.09%	0	0.00%	2293606	10.92%	31729	0.15%	0	0.00%
aaF2_GC.Log.final.out	Mar 25 22:04:11	Mar 25 22:14:10	Mar 25 22:20:54	258.76	29039160	75	21056010	72.51%	74.75	2368651	2364759	2280636	85595	1384	1036	0.42%	0.02%	1.16	0.00%	1.34	5738531	19.76%	13936	0.05%	0	0.00%	2194618	7.56%	36065	0.12%	0	0.00%
aaF2.Log.final.out	Mar 25 21:49:57	Mar 25 21:59:21	Mar 25 22:04:09	217.48	17398102	75	10839409	62.30%	74.76	1334600	1332268	1322304	10781	785	730	0.50%	0.02%	1.13	0.00%	1.34	4363022	25.08%	9759	0.06%	0	0.00%	2147890	12.35%	38022	0.22%	0	0.00%
aaF3_GC.Log.final.out	Mar 25 22:00:02	Mar 25 22:10:46	Mar 25 22:15:57	239.51	20690881	75	16852031	81.45%	74.74	1398328	1394577	1375204	19642	2408	1074	0.44%	0.02%	1.26	0.01%	1.39	2846351	13.76%	17284	0.08%	0	0.00%	934130	4.51%	41085	0.20%	0	0.00%
aaF3.Log.final.out	Mar 25 22:06:35	Mar 25 22:16:59	Mar 25 22:23:29	249.90	27072852	75	18846032	69.61%	74.75	2345889	2342352	2323144	19995	1539	1211	0.42%	0.02%	1.20	0.01%	1.37	7703848	28.46%	20345	0.08%	0	0.00%	400505	1.48%	102122	0.38%	0	0.00%
aaM1_GC.Log.final.out	Mar 25 22:20:57	Mar 25 22:32:49	Mar 25 22:41:08	291.57	40414823	75	29713972	73.52%	74.74	3182937	3177469	3153277	26068	2021	1571	0.44%	0.02%	1.16	0.01%	1.36	9944392	24.61%	23139	0.06%	0	0.00%	634283	1.57%	99037	0.25%	0	0.00%
aaM1.Log.final.out	Mar 25 22:15:59	Mar 25 22:26:51	Mar 25 22:32:49	250.07	24868052	75	20872055	83.93%	74.73	1891753	1887540	1833141	56352	1269	991	0.44%	0.02%	1.25	0.01%	1.37	3127349	12.58%	19271	0.08%	0	0.00%	804261	3.23%	45116	0.18%	0	0.00%
aaM2_GC.Log.final.out	Mar 25 22:08:53	Mar 25 22:20:24	Mar 25 22:28:15	221.82	29020998	75	20440210	70.43%	74.72	1869929	1865690	1817897	49971	1216	845	0.41%	0.02%	1.25	0.01%	1.39	7717394	26.59%	28045	0.10%	0	0.00%	627491	2.16%	207858	0.72%	0	0.00%
aaM2.Log.final.out	Mar 25 22:08:10	Mar 25 22:17:52	Mar 25 22:23:05	216.30	18805792	75	13673543	72.71%	74.77	1455574	1452574	1419492	34118	837	1127	0.43%	0.03%	1.11	0.00%	1.36	4920185	26.16%	15373	0.08%	0	0.00%	168046	0.89%	28645	0.15%	0	0.00%
aaM3_GC.Log.final.out	Mar 25 22:04:38	Mar 25 22:13:55	Mar 25 22:18:42	292.69	23333709	75	19128875	81.98%	74.74	1837304	1833330	1820471	14416	1355	1062	0.39%	0.02%	1.21	0.01%	1.37	3964577	16.99%	15167	0.07%	0	0.00%	193933	0.83%	31157	0.13%	0	0.00%
aaM3.Log.final.out	Mar 25 22:12:46	Mar 25 22:23:26	Mar 25 22:30:37	260.54	31192225	75	25895874	83.02%	74.75	2558558	2553457	2535350	20140	1719	1349	0.40%	0.02%	1.20	0.01%	1.37	5016338	16.08%	20942	0.07%	0	0.00%	208352	0.67%	50719	0.16%	0	0.00%
HS1233_control_S10_R1_001.Log.final.out	Mar 25 22:01:23	Mar 25 22:18:51	Mar 25 22:31:39	168.11	35863601	75	17181080	47.91%	74.76	1925116	1921197	1906956	15888	1298	974	0.40%	0.01%	1.51	0.01%	1.38	4179643	11.65%	17292	0.05%	0	0.00%	14439143	40.26%	46443	0.13%	0	0.00%
HS1233_Gc_S11_R1_001.Log.final.out	Mar 25 22:26:45	Mar 25 22:38:37	Mar 25 22:45:29	212.97	24373372	75	19427066	79.71%	74.77	2080030	2075861	2059764	17730	1505	1031	0.43%	0.01%	1.50	0.01%	1.37	4134395	16.96%	16147	0.07%	0	0.00%	752205	3.09%	43559	0.18%	0	0.00%
HS1583_control_S1_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 22:00:10	Mar 25 22:06:28	244.75	25698344	75	21460393	83.51%	74.76	2092247	2087403	2072626	17225	1338	1058	0.43%	0.01%	1.51	0.01%	1.38	3670439	14.28%	25301	0.10%	0	0.00%	482806	1.88%	59405	0.23%	0	0.00%
